run_idx,MEM,NCPUS,TIME,QUEUE,OBJECTIVE,RESFACTOR,SIM_YEARS,WRITE_THREADS,WRITE_OUTPUT_GEOTIFFS,KEEP_OUTPUTS,DEMAND_CONSTRAINT_TYPE,EXCLUDE_NO_GO_LU,GHG_EMISSIONS_LIMITS,CARBON_PRICES_FIELD,GHG_CONSTRAINT_TYPE,USE_GHG_SCOPE_1,WATER_LIMITS,WATER_CONSTRAINT_TYPE,WATER_PENALTY,INCLUDE_WATER_LICENSE_COSTS,HABITAT_CONDITION,CONNECTIVITY_SOURCE,GBF2_PRIORITY_DEGRADED_AREAS_PERCENTAGE_CUT,BIODIVERSTIY_TARGET_GBF_2,GBF2_CONSTRAINT_TYPE,BIODIVERSTIY_TARGET_GBF_3,BIODIVERSTIY_TARGET_GBF_4_SNES,BIODIVERSTIY_TARGET_GBF_4_ECNES,BIODIVERSTIY_TARGET_GBF_8,SOLVE_WEIGHT_ALPHA,SOLVE_WEIGHT_BETA,DIET_DOM,DIET_GLOB,WASTE,FEED_EFFICIENCY
49,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9747999999999994,BAU,BAU,1,BAU
50,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9748999999999994,BAU,BAU,1,BAU
51,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9749999999999994,BAU,BAU,1,BAU
52,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9750999999999994,BAU,BAU,1,BAU
53,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9751999999999994,BAU,BAU,1,BAU
54,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9752999999999994,BAU,BAU,1,BAU
55,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9753999999999994,BAU,BAU,1,BAU
56,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9754999999999994,BAU,BAU,1,BAU
57,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9755999999999994,BAU,BAU,1,BAU
58,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9756999999999993,BAU,BAU,1,BAU
59,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9757999999999993,BAU,BAU,1,BAU
60,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9758999999999993,BAU,BAU,1,BAU
61,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9759999999999993,BAU,BAU,1,BAU
62,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9760999999999993,BAU,BAU,1,BAU
63,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9761999999999993,BAU,BAU,1,BAU
64,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9762999999999993,BAU,BAU,1,BAU
65,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9763999999999993,BAU,BAU,1,BAU
66,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9764999999999993,BAU,BAU,1,BAU
67,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9765999999999992,BAU,BAU,1,BAU
68,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9766999999999992,BAU,BAU,1,BAU
69,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9767999999999992,BAU,BAU,1,BAU
70,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9768999999999992,BAU,BAU,1,BAU
71,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9769999999999992,BAU,BAU,1,BAU
72,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9770999999999992,BAU,BAU,1,BAU
73,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9771999999999992,BAU,BAU,1,BAU
74,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9772999999999992,BAU,BAU,1,BAU
75,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9773999999999992,BAU,BAU,1,BAU
76,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9774999999999991,BAU,BAU,1,BAU
77,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9775999999999991,BAU,BAU,1,BAU
78,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9776999999999991,BAU,BAU,1,BAU
79,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9777999999999991,BAU,BAU,1,BAU
80,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9778999999999991,BAU,BAU,1,BAU
81,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9779999999999991,BAU,BAU,1,BAU
82,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9780999999999991,BAU,BAU,1,BAU
83,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9781999999999991,BAU,BAU,1,BAU
84,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.9782999999999991,BAU,BAU,1,BAU
85,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.978399999999999,BAU,BAU,1,BAU
86,20GB,5,4:00:00,normalsr,maxprofit,13,"[2010, 2020, 2030, 2040, 2050]",2,False,False,soft,False,medium,CONSTANT,hard,True,on,hard,1e-05,1,HCAS,NCI,40,medium,hard,off,off,off,off,1,0.978499999999999,BAU,BAU,1,BAU
